periodo;codigo;indice;valor
200703;73443;llegada_pax_nacional;0
200703;73449;llegada_pax_nacional;0
200703;76001;llegada_pax_nacional;7769
200703;76109;llegada_pax_nacional;8
200703;76126;llegada_pax_nacional;0
200703;76147;llegada_pax_nacional;2
200703;81001;llegada_pax_nacional;0
200703;81794;llegada_pax_nacional;0
200703;85001;llegada_pax_nacional;1
200703;85225;llegada_pax_nacional;0
200703;85230;llegada_pax_nacional;4
200703;85325;llegada_pax_nacional;0
200703;86568;llegada_pax_nacional;0
200703;86573;llegada_pax_nacional;0
200703;91001;llegada_pax_nacional;298
200703;94001;llegada_pax_nacional;0
200703;95001;llegada_pax_nacional;0
200703;97001;llegada_pax_nacional;0
200703;97666;llegada_pax_nacional;0
200703;99524;llegada_pax_nacional;0
200704;5001;llegada_pax_nacional;1
200704;5031;llegada_pax_nacional;6
200704;5045;llegada_pax_nacional;0
200704;5059;llegada_pax_nacional;613
200704;5147;llegada_pax_nacional;4342
200704;5154;llegada_pax_nacional;1244
200704;5172;llegada_pax_nacional;4
200704;5250;llegada_pax_nacional;404
200704;5284;llegada_pax_nacional;0
200704;5313;llegada_pax_nacional;0
200704;5361;llegada_pax_nacional;0
200704;5475;llegada_pax_nacional;48
200704;5480;llegada_pax_nacional;0
200704;5490;llegada_pax_nacional;143
200704;5579;llegada_pax_nacional;10
200704;5585;llegada_pax_nacional;56
200704;5591;llegada_pax_nacional;81
200704;5604;llegada_pax_nacional;845
200704;5615;llegada_pax_nacional;4
200704;5837;llegada_pax_nacional;118
200704;5847;llegada_pax_nacional;1
200704;5873;llegada_pax_nacional;157
200704;8001;llegada_pax_nacional;3668
200704;8141;llegada_pax_nacional;0
200704;11001;llegada_pax_nacional;48326
200704;13001;llegada_pax_nacional;4199
200704;13430;llegada_pax_nacional;0
200704;13468;llegada_pax_nacional;0
200704;15272;llegada_pax_nacional;0
200704;15516;llegada_pax_nacional;0
200704;17001;llegada_pax_nacional;647
200704;18001;llegada_pax_nacional;10
200704;18753;llegada_pax_nacional;0
200704;19001;llegada_pax_nacional;4
200704;20001;llegada_pax_nacional;254
200704;20011;llegada_pax_nacional;0
200704;20060;llegada_pax_nacional;0
200704;20250;llegada_pax_nacional;0
200704;20400;llegada_pax_nacional;0
200704;20770;llegada_pax_nacional;0
200704;23001;llegada_pax_nacional;2101
200704;23068;llegada_pax_nacional;0
200704;23189;llegada_pax_nacional;0
200704;23466;llegada_pax_nacional;0
200704;25572;llegada_pax_nacional;0
200704;27001;llegada_pax_nacional;3447
200704;27006;llegada_pax_nacional;710
200704;27075;llegada_pax_nacional;517
200704;27077;llegada_pax_nacional;4
200704;27205;llegada_pax_nacional;250
200704;27495;llegada_pax_nacional;267
200704;41001;llegada_pax_nacional;185
200704;41298;llegada_pax_nacional;0
200704;44001;llegada_pax_nacional;107
200704;44430;llegada_pax_nacional;0
200704;44560;llegada_pax_nacional;0
200704;44847;llegada_pax_nacional;0
200704;47001;llegada_pax_nacional;1842
200704;47245;llegada_pax_nacional;0
200704;47318;llegada_pax_nacional;0
200704;50001;llegada_pax_nacional;1
200704;50568;llegada_pax_nacional;0
200704;50573;llegada_pax_nacional;0
200704;52001;llegada_pax_nacional;285
200704;52022;llegada_pax_nacional;0
200704;52835;llegada_pax_nacional;28
200704;54001;llegada_pax_nacional;1133
